year,General Category,Common Category,CDC,HRRC,SVInsight,newvarname CDC,newvarname HRRC,newvarname UTP
2020,Denominator,Population,S0601,unknown,,C202010020,H202010020,
2020,Denominator,Households,DP02,unknown,,C202010030,H202010030,
2020,Economic,Poverty,S1701,B17021,B17021,C202020010,H202020010,U202020010
2020,Economic,Elder Households in Poverty (HRRC) vs Households with Social Security Income (SVInsight),,B17017,,,H202020012,U202020013
2020,Economic,Unemployed,DP03,B23025,B23025,C202020020,H202020020,U202020020
2020,Economic,Housing Cost Burden (CDC) vs Per Capita Income Past 12 Months (SVInsight),S2503,,B19301,C202020031,,U202020031
2020,Economic,No Insurance,S2701,,B27010,C202020050,,U202020050
2020,Education,No High School Diploma,B06009,B15003,B15003,C202021010,H202021010,U202021010
2020,Age,Aged 65 or Older (CDC) vs Elder Households (HRRC) vs Population Under 5 and Over 65 (SVInsight),S0101,B17017,B01001,C202030010,H202030011,U202030020
2020,Child care,Single-parent,B11012,B11005,B11005,C202033010,H202033010,U202033010
2020,Child care,Aged 17 or Younger (CDC) vs Children Under 5 Years Population (HRRC),B09001,B01001,,C202033020,H202033025,
2020,Race,Minority,B01001H,B03002,,C202060010,H202060010,
2020,Race,"Native American, not Hispanic (SVInsight) vs Minority",B01001H,B03002,B03002,C202060010,H202060010,U202060021
2020,Race,"African American, not Hispanic (SVInsight) vs Minority",B01001H,B03002,B03002,C202060010,H202060010,U202060022
2020,Race,"Asian, not Hispanic (SVInsight) vs Minority",B01001H,B03002,B03002,C202060010,H202060010,U202060023
2020,Race,"Hispanic, not Hispanic (SVInsight) vs Minority",B01001H,B03002,B03002,C202060010,H202060010,U202060024
2020,Language,Language Needs,B16005,B16004,B16004,C202062010,H202062010,U202062010
2020,Housing Type,Mobile Homes,DP04,B25024,B25024,C202070010,H202070010,U202070010
2020,Housing Type,Population in Group Quarters,B26001,B09019,,C202070020,H202070020,
2020,Housing Type,Vacant Housing Units,,B25002,B25002,,H202070030,U202070030
2020,Housing Type,Renter Households,,B25033,B25003,,H202070040,U202070040
2020,Housing Type,Average Household Size (People Per Unit) (SVInsight) vs Crowding (CDC),,,B25010,C202070055,,U202070060
2020,Transportation,No Vehicle,DP04,B25044,B25044,C202072010,H202072010,U202072010
2020,Overall SVI,SVI,,,,C202090012,H202090012,U202090012
