BG2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
484790019003,0.79026,0.83621,0.1875,-9939,-0.0,-71328,236,0.7747,1.20225,78.3,,0.0,0.02247,0.0,0.86142,0.48315,0.42697,0.02155,0.0,0.0,0.35376,1.0,1.04,0.7931,0.31692,0.53846,0.0,1.0
481130166351,0.32397,0.85294,0.45,-16472,-0.0,-208910,792,0.14419,1.76966,74.1,,0.0,0.94382,0.0,0.02809,0.0,0.84457,0.0,1.0,0.0,0.05179,1.0,1.12,0.41597,0.19879,0.0,0.0,0.99995
480610140012,0.72041,0.64715,0.0,-8749,-0.0,-49878,270,0.74402,1.03776,53.4,0.37931,0.0,0.0,0.0,1.0,0.55789,0.53776,0.03577,0.45635,0.0,0.04206,0.95285,1.59,0.66829,0.22415,0.52381,0.12302,0.99989
481130162031,0.48011,0.4269,0.50242,-15051,-0.0,-133834,973,0.56322,1.17241,50.0,,0.0,0.35279,0.04775,0.51989,0.55172,0.7374,0.0,0.27184,0.0,0.10236,1.0,1.1,0.8655,0.27012,0.33981,0.0,0.99984
482150205072,0.86572,0.72857,0.0,0,-0.0,-87253,1011,0.8,1.0318,57.0,1.0,0.0,0.0,0.0,1.0,0.67138,0.67138,0.72857,1.0,0.0,0.0,0.0,2.02,0.0,0.30998,0.0,0.0,0.99978
481410028004,0.71856,0.48611,0.0,-9358,-0.0,-79763,459,0.71384,0.94611,66.0,0.5,0.0,0.0,0.0,1.0,0.58084,0.41916,0.06944,0.35135,0.0,0.13944,0.96296,1.55,0.3287,0.431,0.16216,0.48649,0.99973
483750147012,0.08668,0.8917,0.0,-26626,-0.0,-119090,766,0.19896,1.58908,83.1,,0.0,0.04031,0.0,0.09753,0.0104,0.70091,0.0,0.8209,0.0,0.149,0.95668,1.12,0.48014,0.15664,0.0,0.0,0.99967
482012205003,0.35085,0.69025,0.05952,-14333,-0.0,-137900,372,0.49569,1.15637,68.2,1.0,0.0,0.30092,0.02234,0.49671,0.20105,0.54665,0.03633,0.12025,0.0,0.07923,0.91396,1.46,0.63289,0.24369,0.24051,0.51899,0.99962
482150205071,0.10446,0.92661,0.0,-9666,-0.0,-32600,785,0.96913,1.05571,22.2,1.0,0.0,0.0,0.0,0.24164,0.45961,0.61978,0.47095,0.51724,0.0,0.0,0.47095,4.39,0.21407,0.30998,0.46552,0.0,0.99957
484391217023,0.43701,0.72941,0.08638,-15563,-0.0,-104166,734,0.27923,1.24728,66.3,1.0,0.0,0.4339,0.0,0.4028,0.2199,0.69829,0.18118,0.46909,0.0,0.04494,1.0,1.51,0.42824,0.25962,0.36727,0.25455,0.99951
481410019003,0.78632,0.54861,0.17063,-7945,-0.0,-64999,335,0.61004,0.87714,52.8,0.45349,0.0,0.0,0.0,1.0,0.56303,0.5609,0.25231,0.73206,0.0,0.2354,0.94676,2.17,0.52315,0.37427,0.57895,0.06699,0.99946
483550064002,0.8087,0.7027,0.0,-9495,-0.0,-144736,536,0.87826,1.15652,68.4,,0.0,0.85217,0.0,0.14783,0.0,0.55652,0.06757,1.0,0.0,0.54601,1.0,1.55,0.55405,0.0638,0.0,0.0,0.9994
485079503022,0.37374,0.60417,0.0,-14284,-0.0,-79500,867,0.57447,1.30808,76.4,1.0,0.0,0.0,0.0,1.0,0.05556,0.72727,0.13889,0.88136,0.09722,0.0,0.18056,1.38,0.07639,0.13842,0.69492,0.0,0.99935
480610136004,0.17733,0.86864,0.0,-13035,-0.0,-41900,244,0.47849,1.07482,61.4,0.80556,0.0,0.0,0.00182,0.88321,0.46481,0.57847,0.24153,0.46429,0.0,0.20539,0.41525,2.3,0.0678,0.23899,0.44643,0.03571,0.99929
482150205052,0.38743,0.48276,0.0,-15442,-0.02069,-17300,329,0.69623,1.08028,53.1,1.0,0.0,0.0,0.0,0.77312,0.38561,0.64747,0.26207,0.6044,0.68373,0.12651,0.41724,1.98,0.16207,0.2902,0.58791,0.0,0.99924
482150242071,0.48447,0.65693,0.0,-16176,-0.0,-73400,634,0.39423,1.40062,65.2,0.60656,0.0,0.04814,0.0,0.6382,0.25341,0.68012,0.13504,0.57609,0.17718,0.17718,0.13504,2.35,0.0,0.28372,0.40217,0.0,0.99919
482150230002,0.51966,0.65493,0.06145,-16099,-0.03873,-74000,330,0.48984,1.18118,38.0,0.0,0.0,0.02247,0.0,0.79073,0.09165,0.74017,0.0,0.29762,0.19355,0.08387,0.7993,2.51,0.40493,0.21951,0.14286,0.27381,0.99913
481410104102,0.16258,0.76022,0.0798,-15007,-0.0,-108300,749,0.63247,1.08678,41.7,0.44444,0.0,0.0,0.0,1.0,0.39742,0.70131,0.43324,0.86721,0.15803,0.04922,0.14986,2.7,0.07629,0.26484,0.271,0.04878,0.99908
481410040041,0.37849,0.76026,0.0,-15835,-0.0,-96200,888,0.47315,1.18798,65.0,0.78571,0.0,0.0,0.0,0.97629,0.40109,0.61473,0.15767,0.51821,0.0,0.05317,0.08639,2.55,0.23326,0.21699,0.18207,0.02801,0.99902
