TRACT2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
48215020507,0.21507,0.67571,0.02937,-11275,-0.0,-49200,581,0.7608,0.90754,24.5,0.81789,0.0,0.0,0.0,0.55642,0.3979,0.60122,0.41286,0.45386,0.0,0.04502,0.24429,3.51,0.15571,0.30998,0.34191,0.0,1.0
48261950100,0.02046,0.5969,0.0,-15058,-0.0,-89735,529,0.78148,0.97187,41.2,0.0,0.0,0.0,0.00256,0.96675,0.26959,0.50639,0.30233,0.35065,0.04977,0.41629,0.7907,2.99,0.0,0.27366,0.24026,0.09091,0.99985
48441012100,0.47159,1.0,0.01875,-12527,-0.0,-113760,768,0.25287,1.05091,51.2,,0.0,0.16364,0.0,0.07455,0.0,0.89455,0.0,0.98089,0.0,0.0,0.0,2.17,0.0,0.03788,0.01911,0.0,0.99971
48061012103,0.06633,1.0,0.0,-19709,-0.0,-16500,831,0.07398,1.53061,78.6,,0.0,0.0,0.0,0.0,0.0,0.53061,0.0,1.0,0.95548,0.59618,0.19685,1.54,0.0,0.0,0.0,0.0,0.99956
48377950200,0.52943,0.48701,0.19801,-9916,-0.0,-50400,390,0.64987,0.90207,42.5,0.57328,0.0,0.0,0.02978,0.93996,0.36944,0.56993,0.1513,0.52775,0.21048,0.37903,0.56299,2.73,0.05974,0.2833,0.13256,0.03894,0.99941
48215020106,0.52624,0.7747,0.1437,-15986,-0.01928,-90300,463,0.31333,1.07815,59.5,0.0,0.0,0.0,0.0,0.60439,0.22746,0.51991,0.0,0.19863,0.64727,0.41093,0.15904,3.24,0.0,0.262,0.0,0.0,0.99927
48215024120,0.52957,0.22055,0.09367,-7856,-0.0,-45900,483,0.86859,0.59745,20.3,0.44615,0.0,0.0,0.0,0.99306,0.39828,0.50762,0.29677,0.40029,0.5389,0.02368,0.11316,5.15,0.0,0.47558,0.35371,0.14847,0.99912
48427950701,0.43286,0.53391,0.10693,-11807,-0.01242,-48000,379,0.47578,0.92285,32.7,0.47319,0.0,0.0,0.0,1.0,0.42165,0.54792,0.30086,0.49298,0.06794,0.25902,0.47278,3.63,0.31901,0.31806,0.39802,0.16846,0.99897
48215024206,0.37255,0.41139,0.11645,-12954,-0.0,-60100,459,0.58507,0.82047,34.8,0.31688,0.0,0.0,0.0,0.9901,0.29963,0.58515,0.19409,0.51676,0.09474,0.13081,0.20534,3.13,0.07665,0.35883,0.3052,0.12312,0.99883
48215021313,0.56509,0.24974,0.0334,-8691,-0.0,-81300,422,0.50872,0.8846,23.1,0.61093,0.0,0.0,0.0,0.96956,0.40102,0.64424,0.4596,0.57667,0.0,0.0,0.48059,3.62,0.20462,0.3804,0.31749,0.02268,0.99868
48215021314,0.16908,0.23264,0.01628,-11883,-0.0,-74000,672,0.56282,0.78489,31.4,0.36345,0.0,0.0,0.03619,0.96381,0.46881,0.5469,0.28867,0.46345,0.0,0.04424,0.15225,4.21,0.0609,0.41893,0.28414,0.15724,0.99853
48141010365,0.40749,0.35135,0.17306,-12754,-0.0,-76600,651,0.3824,0.91403,45.0,0.54483,0.0,0.0,0.0,1.0,0.26816,0.66308,0.21518,0.6491,0.39709,0.0,0.30977,3.58,0.08004,0.35318,0.30685,0.10858,0.99839
48215021001,0.39946,0.39905,0.0,-9948,-0.0,-103114,286,0.48341,0.9852,27.5,0.52961,0.0,0.0,0.0,0.90078,0.24739,0.57746,0.25596,0.40761,0.10571,0.10143,0.65819,3.55,0.24642,0.21854,0.33152,0.0779,0.99824
