OBJECTID,COUNTYFP,GEOID,CZ,POPe,HHe,CHILDe,CHILDi,CHILDz,CHILDp,CHILDq,SPHWCe,SPHWCi,SPHWCz,SPHWCp,SPHWCq,ELDERHHe,ELDERHHi,ELDERHHz,ELDERHHp,ELDERHHq,ELDERHHPVe,ELDERHHPVi,ELDERHHPVz,ELDERHHPVp,ELDERHHPVq,PTDe,PTDi,PTDz,PTDp,PTDq,HUNOVELe,HUNOVELi,HUNOVELz,HUNOVELp,HUNOVELq,VACHUe,VACHUi,VACHUz,VACHUp,VACHUq,RENTERe,RENTERi,RENTERz,RENTERp,RENTERq,NONWHITEe,NONWHITEi,NONWHITEz,NONWHITEp,NONWHITEq,GQe,GQi,GQz,GQp,GQq,YEAR20e,YEAR20i,YEAR20z,YEAR20p,YEAR20q,MOBILEe,MOBILEi,MOBILEz,MOBILEp,MOBILEq,POPVe,POPVi,POPVz,POPVp,POPVq,NOHSe,NOHSi,NOHSz,NOHSp,NOHSq,UNEMPe,UNEMPi,UNEMPz,UNEMPp,UNEMPq,SPENWe,SPENWi,SPENWz,SPENWp,SPENWq,RENTBURDN30e,RENTBURDN30i,RENTBURDN30z,RENTBURDN30p,RENTBURDN30q,NOINTNETe,NOINTNETi,NOINTNETz,NOINTNETp,NOINTNETq,MEDHVALe,MEDHVALz,MEDHVALp,MEDHVALq,CHILDCAREr,ELDERCAREr,TRANSNEEDr,SHELTNEEDr,CIVICCAPr,SVIr,CHILDCAREp,ELDERCAREp,TRANSNEEDp,SHELTNEEDp,CIVICCAPp,SVIp,CHILDCAREq,ELDERCAREq,TRANSNEEDq,SHELTNEEDq,CIVICCAPq,SVIq,CHILDCAREc,ELDERCAREc,TRANSNEEDc,SHELTNEEDc,CIVICCAPc,SVIc,Shape__Area,Shape__Length
1,48029,48029181703,69,7876,2832,314,3.987,-0.797,0.197,1,230,8.121,-0.488,0.358,2,650,22.952,0.083,0.555,3,76,2.684,-0.064,0.623,3,0,0,-0.456,0,1,65,2.295,-0.501,0.395,2,184,6.101,-0.521,0.339,3,2160,27.788,0.451,-0.333,2,3704,47.029,-0.358,0.401,1,103,1.308,-0.085,0.812,5,2671,88.561,0.695,0.692,3,0,0,-0.596,0,1,963,12.389,-0.212,0.521,3,381,6.188,-0.733,0.278,2,80,1.852,-0.804,0.184,1,205,2.711,-0.493,0.435,2,454,54.436,0.668,0.757,4,155,5.473,-0.681,0.314,2,259500,0.391,0.773,5,0.278,0.589,0.198,0.347,0.303,0.341,0.201,0.614,0.244,0.425,0.221,0.224,1,3,1,2,1,1,1,3,2,3,2,2,4992876.953125,10077.6005234345
2,48029,48029181704,69,6472,1892,317,4.898,-0.532,0.305,2,195,10.307,-0.22,0.479,2,418,22.093,0.011,0.527,3,64,3.383,0.124,0.693,4,81,2.808,0.509,0.853,4,109,5.761,0.049,0.66,3,218,10.332,-0.07,0.566,4,918,14.206,0.192,-0.881,1,5397,83.39,0.935,0.747,4,10,0.155,-0.21,0.656,4,1714,81.232,0.418,0.556,3,170,8.057,0.057,0.718,5,794,12.268,-0.222,0.516,3,779,18.451,0.139,0.648,4,337,10.427,1.147,0.893,5,433,7.035,0.001,0.675,4,160,53.333,0.612,0.735,4,188,9.937,-0.297,0.472,3,148300,-0.282,0.455,3,0.392,0.61,0.757,0.411,0.672,0.62,0.341,0.639,0.844,0.528,0.75,0.712,2,3,4,3,4,3,2,3,4,3,4,4,7609385.22265625,12785.5807111461
3,48029,48029181705,69,6167,2412,691,11.205,1.298,0.904,5,374,15.506,0.417,0.701,4,172,7.131,-1.251,0.102,1,31,1.285,-0.438,0.433,2,56,1.907,0.199,0.789,3,268,11.111,0.898,0.85,4,285,10.567,-0.045,0.578,4,3310,53.673,0.787,0.712,4,4758,77.153,0.713,0.689,3,0,0,-0.226,0,1,1313,48.684,-0.813,0.198,2,0,0,-0.596,0,1,731,11.853,-0.256,0.501,3,316,7.741,-0.622,0.338,2,182,5.815,0.098,0.634,3,184,3.36,-0.419,0.49,3,647,45.531,0.217,0.576,3,217,8.997,-0.377,0.444,3,162900,-0.193,0.524,3,0.803,0.268,0.82,0.383,0.477,0.593,0.879,0.235,0.891,0.48,0.478,0.669,5,1,4,3,3,3,5,1,4,3,3,4,5946767.9375,10578.4668813993
4,48029,48029181711,69,8967,2825,209,2.331,-1.277,0.081,1,305,10.796,-0.16,0.501,3,494,17.487,-0.377,0.375,2,149,5.274,0.63,0.821,4,29,0.594,-0.252,0.625,2,44,1.558,-0.618,0.309,2,53,1.842,-0.975,0.119,1,1812,20.225,0.308,-0.638,2,6444,71.863,0.525,0.64,3,8,0.089,-0.217,0.621,3,1638,56.915,-0.502,0.254,2,11,0.382,-0.565,0.461,3,887,9.892,-0.415,0.428,2,269,4.458,-0.856,0.21,2,235,4.339,-0.238,0.485,3,56,0.639,-0.729,0.188,1,176,35.271,-0.302,0.358,2,88,3.115,-0.884,0.212,2,182800,-0.073,0.597,4,0.291,0.598,0.467,0.269,0.274,0.387,0.213,0.624,0.609,0.313,0.178,0.302,1,3,2,2,1,2,1,3,3,2,1,2,4960804.9765625,9307.74950042574
5,48029,48029181712,69,4471,1309,331,7.403,0.195,0.622,3,109,8.327,-0.462,0.369,2,507,38.732,1.414,0.922,5,25,1.91,-0.271,0.524,3,1,0.054,-0.438,0.544,2,68,5.195,-0.041,0.624,3,0,0,-1.171,0,1,422,9.701,0.116,-1.062,1,3069,68.642,0.41,0.61,2,121,2.706,0.066,0.886,5,1193,91.138,0.793,0.745,4,0,0,-0.596,0,1,276,6.392,-0.701,0.276,2,378,12.081,-0.314,0.487,3,129,5.726,0.077,0.628,3,254,6.135,-0.102,0.644,4,36,27.481,-0.697,0.224,1,114,8.709,-0.402,0.436,3,182300,-0.076,0.595,4,0.496,0.723,0.584,0.208,0.549,0.559,0.49,0.776,0.71,0.235,0.584,0.608,3,4,3,1,3,3,3,4,3,2,3,3,2235499.703125,6584.87502613238
6,48139,48139060217,42,7545,2510,600,7.952,0.354,0.678,4,177,7.052,-0.619,0.303,2,582,23.187,0.103,0.564,3,8,0.319,-0.697,0.256,2,20,0.535,-0.272,0.613,5,94,3.745,-0.271,0.529,4,57,2.22,-0.934,0.132,1,985,13.069,0.169,-0.926,2,2038,27.011,-1.07,0.182,1,8,0.106,-0.215,0.63,4,958,37.32,-1.243,0.141,1,110,4.285,-0.249,0.652,3,207,2.748,-0.997,0.117,2,356,7.126,-0.666,0.315,1,116,2.97,-0.55,0.318,2,145,2.088,-0.564,0.373,3,120,27.778,-0.681,0.228,2,212,8.446,-0.425,0.429,3,246300,0.311,0.75,5,0.491,0.41,0.571,0.133,0.359,0.405,0.482,0.391,0.699,0.153,0.299,0.338,3,2,5,2,2,3,3,3,4,2,2,2,86271557.4921875,49972.346165851
7,48139,48139060602,42,3822,1404,226,5.913,-0.238,0.442,3,121,8.618,-0.427,0.384,2,344,24.501,0.214,0.609,4,29,2.066,-0.229,0.544,4,14,0.681,-0.222,0.642,5,51,3.632,-0.289,0.517,4,293,17.266,0.669,0.814,5,1892,56.31,0.805,0.818,5,1434,37.52,-0.696,0.297,3,462,12.088,1.078,0.965,5,1319,77.725,0.285,0.496,5,0,0,-0.596,0,1,407,12.088,-0.236,0.509,4,319,13.27,-0.229,0.522,3,113,4.993,-0.089,0.553,5,35,0.973,-0.691,0.238,2,415,50.983,0.493,0.691,4,139,9.9,-0.3,0.472,4,178900,-0.096,0.584,2,0.413,0.577,0.58,0.557,0.446,0.569,0.368,0.598,0.707,0.745,0.429,0.623,2,4,5,5,3,5,2,4,4,4,3,4,6895233.7578125,11388.6884363194
8,48139,48139061402,42,4735,1879,192,4.055,-0.777,0.205,1,214,11.389,-0.087,0.528,3,529,28.153,0.522,0.714,5,16,0.852,-0.554,0.351,3,0,0,-0.456,0,1,16,0.852,-0.73,0.226,2,146,7.21,-0.403,0.403,3,1061,22.408,0.35,-0.55,3,2264,47.814,-0.33,0.41,4,0,0,-0.226,0,1,1581,78.074,0.299,0.504,5,67,3.309,-0.328,0.63,2,355,7.497,-0.61,0.328,3,568,17.912,0.101,0.637,4,51,1.916,-0.789,0.192,1,224,4.931,-0.24,0.586,4,244,57.009,0.799,0.802,4,220,11.708,-0.144,0.531,4,146800,-0.291,0.449,2,0.367,0.533,0.113,0.246,0.487,0.354,0.307,0.543,0.142,0.285,0.495,0.246,2,3,1,3,4,2,2,4,1,2,3,2,14445053.7578125,17806.9583332949
9,48139,48139060601,42,4976,2070,321,6.451,-0.082,0.509,3,279,13.478,0.169,0.622,4,872,42.126,1.7,0.954,5,38,1.836,-0.291,0.515,4,0,0,-0.456,0,1,0,0,-0.865,0,1,91,4.211,-0.722,0.232,1,2986,60.068,0.831,0.97,5,1696,34.084,-0.818,0.257,2,5,0.1,-0.216,0.628,4,1255,58.075,-0.458,0.262,2,0,0,-0.596,0,1,324,6.511,-0.691,0.281,2,361,9.736,-0.48,0.412,2,74,2.932,-0.558,0.314,2,46,0.988,-0.689,0.241,2,431,33.619,-0.386,0.327,2,56,2.705,-0.919,0.19,1,184000,-0.066,0.601,3,0.566,0.735,0,0.376,0.289,0.411,0.595,0.79,0,0.468,0.201,0.348,4,5,1,4,2,3,3,5,1,3,2,3,5773194.66796875,13114.0590430112
10,48029,48029181713,69,7933,2622,801,10.097,0.976,0.848,5,432,16.476,0.536,0.735,4,621,23.684,0.145,0.58,3,83,3.166,0.065,0.671,4,35,0.959,-0.127,0.683,3,18,0.686,-0.756,0.204,1,42,1.577,-1.003,0.107,1,2337,29.485,0.485,-0.264,3,5890,74.247,0.61,0.662,3,7,0.088,-0.217,0.619,3,2432,91.291,0.799,0.749,4,67,2.515,-0.392,0.606,5,449,5.66,-0.76,0.242,1,227,4.586,-0.847,0.215,2,141,3.671,-0.39,0.407,2,227,3.183,-0.439,0.476,2,293,38.451,-0.141,0.418,2,193,7.361,-0.518,0.391,2,169000,-0.156,0.549,3,0.792,0.626,0.444,0.389,0.372,0.582,0.867,0.657,0.576,0.493,0.319,0.646,5,4,2,3,2,3,5,4,3,3,2,3,5543719.46484375,11649.0688122884
