BG2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
480019501001,1640,608,0.14357,0.05428,0.14403,301900,0.17266,0.31579,0.19572,0.06341,0.38598,0.0293,0.31452,0.02744,0.1828,0.21505,0.7836,0.05428,0.0,0.23026,0.886,0.735,4,4,1.0
480019501002,1901,626,0.13793,0.02396,0.07344,262600,0.04793,0.29872,0.02875,0.13467,0.10679,0.00729,0.29823,0.0,0.34724,0.14308,0.61001,0.0,0.0,0.17732,0.457,0.464,2,2,1.0
480019501003,1417,545,0.26464,0.0,0.0,305500,0.0395,0.30275,0.12477,0.04446,0.21948,0.0,0.30226,0.0,0.23023,0.12562,0.66102,0.01101,0.0,0.27156,0.312,0.386,2,2,1.0
480019504011,4867,81,0.0,0.0,0.0,275000,0.26896,0.08642,0.08642,0.00699,0.69242,0.01366,0.0,0.94514,0.19,0.66667,0.86,0.0,0.0,0.17284,0.229,0.336,1,1,1.0
480019504021,7335,0,1.0,0.0,0.0,271100,0.29417,0.0,0.0,0.0,0.68643,0.01909,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.102,1,1,1.0
480019505001,1093,274,0.02922,0.0,0.09375,383400,0.08793,0.24453,0.18613,0.09973,0.56542,0.0437,0.07453,0.03019,0.14907,0.21981,0.72981,0.0,0.0,0.39781,0.584,0.531,3,3,1.0
480019505002,444,152,0.13063,0.0,0.0,350900,0.32131,0.09211,0.30263,0.09234,0.76577,0.26055,0.0,0.0,0.27273,0.33559,0.91866,0.22368,0.0,0.53947,0.772,0.647,4,4,1.0
480019505003,1385,527,0.17256,0.02277,0.0,298800,0.12337,0.17078,0.11385,0.0657,0.587,0.01546,0.0,0.0,0.14029,0.38339,0.88744,0.03605,0.06364,0.19734,0.709,0.606,3,3,1.0
480019505004,1475,441,0.22863,0.02268,0.05651,162300,0.14043,0.34014,0.09297,0.06712,0.59254,0.0516,0.0772,0.02441,0.20826,0.1369,0.97487,0.06576,0.0,0.08163,0.798,0.665,4,4,1.0
480019506001,1392,577,0.2931,0.0,0.03985,350300,0.22807,0.54419,0.14558,0.11494,0.33405,0.0,0.47176,0.0,0.32118,0.34555,0.94,0.04159,0.0,0.25303,0.772,0.647,4,4,1.0
480019506002,1190,365,0.04659,0.0,0.05321,114900,0.36182,0.23014,0.32603,0.0479,0.12437,0.0,0.14747,0.06807,0.26263,0.52209,0.9697,0.10411,0.0,0.06849,0.745,0.629,3,3,1.0
480019506003,1078,314,0.35399,0.33439,0.06897,237500,0.30263,0.55732,0.09554,0.0,0.67254,0.0,0.0,0.0,0.0951,0.09833,0.82133,0.07325,0.0,0.46178,0.628,0.557,3,3,1.0
480019507001,1028,307,0.1644,0.06189,0.06596,69100,0.03602,0.35505,0.23127,0.20914,0.88911,0.0,0.05539,0.0,0.10496,0.4251,0.91254,0.11401,0.0,0.30619,0.907,0.753,4,4,1.0
480019507003,978,256,0.07538,0.03516,0.0,84000,0.38103,0.25781,0.08594,0.02761,0.72597,0.11777,0.0,0.19632,0.20743,0.32697,1.0,0.03906,0.0,0.37109,0.703,0.602,3,3,1.0
480019508002,1491,704,0.36016,0.0767,0.02395,118600,0.01878,0.20028,0.2983,0.10396,0.5835,0.0,0.0,0.00469,0.06631,0.67116,0.7122,0.07528,0.0,0.15341,0.803,0.669,4,4,1.0
480019508003,774,326,0.19767,0.10429,0.0,23400,0.0226,0.26994,0.07669,0.05168,0.51292,0.0,0.0,0.0,0.07386,0.44574,1.0,0.0,0.0,0.14417,0.321,0.391,2,2,1.0
480019508004,1024,356,0.06055,0.0,0.10406,54200,0.01792,0.13202,0.30337,0.04102,0.43262,0.0,0.0,0.0,0.0,0.12207,1.0,0.0,0.0,0.05337,0.144,0.276,1,1,1.0
480019508005,918,311,0.0,0.0,0.0,132800,0.0625,0.0836,0.0,0.0,0.11438,0.0,0.0,0.0,0.0,0.12636,1.0,0.05788,0.0,0.0,0.041,0.162,1,1,1.0
480019509011,1133,364,0.10591,0.0,0.0214,156600,0.03147,0.27747,0.26923,0.05296,0.31333,0.0,0.13178,0.0,0.05943,0.21094,0.65891,0.12363,0.0,0.1978,0.515,0.494,3,3,1.0
480019509012,730,258,0.0,0.0,0.15412,114600,0.33669,0.56977,0.0,0.0,0.37123,0.09178,0.32057,0.0,0.38278,0.13562,0.58612,0.07364,0.0,0.3876,0.505,0.489,3,3,1.0
480019509014,3359,707,0.12323,0.07496,0.0,97600,0.20403,0.29279,0.11315,0.04138,0.24442,0.0118,0.51383,0.32837,0.30138,0.1977,0.73123,0.04102,0.0,0.157,0.68,0.588,3,3,1.0
480019509022,1721,629,0.26148,0.0,0.0,101900,0.13698,0.31955,0.16216,0.10633,0.38931,0.0,0.34296,0.0,0.2098,0.2853,0.87563,0.04134,0.0,0.18442,0.604,0.543,3,3,1.0
480019509023,454,209,0.0,0.0,0.05528,281300,0.0,0.2201,0.0,0.11013,0.15639,0.0,0.4223,0.0,0.29392,0.07048,0.68919,0.23445,0.0,0.23445,0.364,0.415,2,2,1.0
480019509024,1539,826,0.04873,0.05327,0.0,112800,0.36102,0.2046,0.00605,0.01689,0.29565,0.05816,0.41882,0.0,0.14581,0.12151,0.60496,0.20944,0.0,0.43341,0.574,0.526,3,3,1.0
480019511001,1958,661,0.06231,0.01815,0.0,80200,0.0665,0.47352,0.02723,0.02349,0.06793,0.0,0.31054,0.0,0.25897,0.15781,0.59081,0.0,0.01832,0.16944,0.401,0.435,2,2,1.0
480019511002,954,312,0.07338,0.01923,0.0,458900,0.07457,0.16667,0.00962,0.11321,0.15514,0.0461,0.53425,0.0,0.38943,0.2086,0.4364,0.02244,0.0,0.17308,0.469,0.47,2,2,1.0
480019511003,1302,573,0.13748,0.04014,0.0276,121100,0.11554,0.19895,0.15532,0.04531,0.39708,0.00644,0.58858,0.0,0.16105,0.40399,0.5549,0.0192,0.04841,0.12391,0.768,0.644,4,4,1.0
