TRACT2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
48029181703,7876,2832,0.12389,0.02684,0.01852,259500,0.06188,0.22952,0.08121,0.03987,0.47029,0.02711,0.0,0.01308,0.06101,0.27788,0.88561,0.02295,0.0,0.05473,0.224,0.341,1,1,1.0
48029181704,6472,1892,0.12268,0.03383,0.10427,148300,0.18451,0.22093,0.10307,0.04898,0.8339,0.07035,0.08057,0.00155,0.10332,0.14206,0.81232,0.05761,0.02808,0.09937,0.712,0.62,3,3,1.0
48029181705,6167,2412,0.11853,0.01285,0.05815,162900,0.07741,0.07131,0.15506,0.11205,0.77153,0.0336,0.0,0.0,0.10567,0.53673,0.48684,0.11111,0.01907,0.08997,0.669,0.593,3,3,1.0
48029181711,8967,2825,0.09892,0.05274,0.04339,182800,0.04458,0.17487,0.10796,0.02331,0.71863,0.00639,0.00382,0.00089,0.01842,0.20225,0.56915,0.01558,0.00594,0.03115,0.302,0.387,2,2,1.0
48029181712,4471,1309,0.06392,0.0191,0.05726,182300,0.12081,0.38732,0.08327,0.07403,0.68642,0.06135,0.0,0.02706,0.0,0.09701,0.91138,0.05195,0.00054,0.08709,0.608,0.559,3,3,1.0
48139060217,7545,2510,0.02748,0.00319,0.0297,246300,0.07126,0.23187,0.07052,0.07952,0.27011,0.02088,0.04285,0.00106,0.0222,0.13069,0.3732,0.03745,0.00535,0.08446,0.338,0.405,2,2,1.0
48139060602,3822,1404,0.12088,0.02066,0.04993,178900,0.1327,0.24501,0.08618,0.05913,0.3752,0.00973,0.0,0.12088,0.17266,0.5631,0.77725,0.03632,0.00681,0.099,0.623,0.569,3,3,1.0
48139061402,4735,1879,0.07497,0.00852,0.01916,146800,0.17912,0.28153,0.11389,0.04055,0.47814,0.04931,0.03309,0.0,0.0721,0.22408,0.78074,0.00852,0.0,0.11708,0.246,0.354,1,1,1.0
48139060601,4976,2070,0.06511,0.01836,0.02932,184000,0.09736,0.42126,0.13478,0.06451,0.34084,0.00988,0.0,0.001,0.04211,0.60068,0.58075,0.0,0.0,0.02705,0.348,0.411,2,2,1.0
48029181713,7933,2622,0.0566,0.03166,0.03671,169000,0.04586,0.23684,0.16476,0.10097,0.74247,0.03183,0.02515,0.00088,0.01577,0.29485,0.91291,0.00686,0.00959,0.07361,0.646,0.582,3,3,1.0
48029181715,7733,1996,0.07901,0.01403,0.03385,144300,0.09001,0.11774,0.27405,0.05858,0.79465,0.0239,0.0,0.0,0.03388,0.35342,0.99177,0.00601,0.0075,0.10471,0.453,0.469,2,2,1.0
48029181716,9457,2441,0.03863,0.0,0.01758,117000,0.06452,0.12085,0.15772,0.06884,0.80744,0.05099,0.0,0.0,0.05167,0.32399,0.97786,0.01311,0.00402,0.06964,0.331,0.401,2,2,1.0
48201341002,3832,1581,0.0762,0.0,0.05313,141700,0.09859,0.19987,0.15117,0.06811,0.50157,0.007,0.0,0.0,0.03125,0.53914,0.91054,0.0,0.00457,0.04554,0.319,0.395,2,2,1.0
48201310101,2720,1431,0.17463,0.01258,0.05409,320600,0.14383,0.03564,0.0587,0.03824,0.62904,0.03631,0.0,0.01066,0.14516,0.49981,0.28913,0.13627,0.04358,0.00978,0.456,0.471,2,2,1.0
48201510301,3087,1544,0.03288,0.0,0.0,452000,0.022,0.14573,0.0,0.01782,0.31714,0.0,0.0,0.0149,0.15351,0.19434,0.75384,0.00777,0.0,0.03497,0.02,0.122,1,1,1.0
48201311001,3042,1083,0.28008,0.0434,0.12991,89900,0.52974,0.22161,0.1819,0.0332,0.94707,0.33254,0.0,0.0,0.06477,0.49145,1.0,0.0711,0.05677,0.33518,0.881,0.741,4,4,1.0
48201233502,3456,1067,0.15509,0.02249,0.14157,76600,0.522,0.13027,0.08716,0.0434,0.94184,0.20085,0.07892,0.0,0.07459,0.19589,0.93062,0.0,0.0,0.209,0.365,0.421,2,2,1.0
48201211302,2724,1276,0.26287,0.11755,0.08313,70900,0.22904,0.23511,0.11991,0.05837,0.98605,0.14776,0.0,0.0,0.14305,0.6094,0.92545,0.22649,0.05473,0.3127,0.945,0.808,4,4,1.0
48201454902,9243,2721,0.04771,0.04006,0.03678,248500,0.09676,0.13488,0.12091,0.06989,0.61582,0.10376,0.0,0.0,0.04291,0.27188,0.41646,0.04961,0.02097,0.03969,0.506,0.497,3,3,1.0
48201100001,5090,2560,0.13636,0.0,0.04434,-1,0.06511,0.08867,0.00742,0.00354,0.49804,0.01262,0.0,0.27132,0.20743,0.97142,0.41146,0.20156,0.06721,0.06484,0.451,0.468,2,2,1.0
48201340702,3512,1435,0.0094,0.0,0.03297,191700,0.02456,0.25784,0.1324,0.02933,0.6361,0.02552,0.0,0.0,0.0,0.21754,0.9784,0.00557,0.02596,0.023,0.185,0.314,1,1,1.0
48201433004,2896,847,0.33733,0.0,0.04931,-1,0.48587,0.02952,0.24203,0.06181,0.94475,0.55171,0.0,0.05007,0.20544,1.0,0.77767,0.12043,0.10436,0.31995,0.881,0.741,4,4,1.0
48201340501,3742,1695,0.16007,0.01062,0.03103,190600,0.1046,0.19292,0.15516,0.08097,0.38375,0.02966,0.0,0.0,0.09792,0.46312,0.98457,0.09735,0.02435,0.03658,0.636,0.577,3,3,1.0
