SVI,order,year,newvarname,gencat,gencatcode,comcat,comcatcode,theme,SVIcat,label,oldvarname,ACStable1v2,ACStable1v1,inverted,proportion,percent,dtype
CDC,10010,2020,C202010010,Geocode,100,TRACT2020,10,NA,Geocode,Census Tract 11 Digit Geocode,FIPS,NA,NA,0,0,0,str
CDC,10020,2020,C202010020,Denominator,100,Population,20,NA,Denominator,Population,E_TOTPOP,S0601,S0601,0,0,0,int64
CDC,10030,2020,C202010030,Denominator,100,Households,30,NA,Denominator,Households,E_HH,DP02,DP02,0,0,0,int64
CDC,10040,2020,C202010040,Denominator,100,Housing Units,40,NA,Denominator,Housing Units,E_HU,DP04,DP04,0,0,0,int64
CDC,20010,2020,C202020010,Economic,200,Poverty,10,THEME1,Socioeconomic Status,Below 150% Poverty,EP_POV150,S1701,S1701,0,0,1,float
CDC,20020,2020,C202020020,Economic,200,Unemployed,20,THEME1,Socioeconomic Status,Unemployed,EP_UNEMP,DP03,DP03,0,0,1,float
CDC,20031,2020,C202020031,Economic,200,NA,31,THEME1,Socioeconomic Status,Housing Cost Burden,EP_HBURD,S2503,S2503,0,0,1,float
CDC,21010,2020,C202021010,Education,210,No High School Diploma,10,THEME1,Socioeconomic Status,No High School Diploma,EP_NOHSDP,B06009,S0601,0,0,1,float
CDC,20050,2020,C202020050,Economic,200,No Insurance,50,THEME1,Socioeconomic Status,No Health Insurance,EP_UNINSUR,S2701,S2701,0,0,1,float
CDC,30010,2020,C202030010,Age,300,NA,10,THEME2,Household Characteristics,Aged 65 or Older,EP_AGE65,S0101,S0101,0,0,1,float
CDC,33010,2020,C202033010,Child care,330,Single-parent,10,THEME2,Household Characteristics,Single-Parent Households,EP_SNGPNT,B11012,B11012,0,0,1,float
CDC,33020,2020,C202033020,Child care,330,NA,20,THEME2,Household Characteristics,Aged 17 or Younger,EP_AGE17,B09001,B09001,0,0,1,float
CDC,62010,2020,C202062010,Language,620,Language Needs,10,THEME2,Household Characteristics,English Language Proficiency,EP_LIMENG,B16005,B16005,0,0,1,float
CDC,81010,2020,C202081010,Other,810,NA,10,THEME2,Household Characteristics,Civilian With a Disability,EP_DISABL,DP02,DP02,0,0,1,float
CDC,60010,2020,C202060010,Race,600,Minority,10,THEME3,Racial & Ethnic Minority Status,Minority,EP_MINRTY,B01001H,B01001H,0,0,1,float
CDC,70010,2020,C202070010,Housing Type,700,Mobile Homes,10,THEME4,Housing Type & Transportation,Mobile Homes,EP_MOBILE,DP04,DP04,0,0,1,float
CDC,70020,2020,C202070020,Housing Type,700,Population in Group Quarters,20,THEME4,Housing Type & Transportation,Group Quarters,EP_GROUPQ,B26001,B26001,0,0,1,float
CDC,70050,2020,C202070050,Housing Type,700,NA,50,THEME4,Housing Type & Transportation,Multi-Unit Structures,EP_MUNIT,DP04,DP04,0,0,1,float
CDC,70055,2020,C202070055,Housing Type,700,NA,55,THEME4,Housing Type & Transportation,Crowding,EP_CROWD,DP04,DP04,0,0,1,float
CDC,72010,2020,C202072010,Transportation,720,No Vehicle,10,THEME4,Housing Type & Transportation,No Vehicle,EP_NOVEH,DP04,DP04,0,0,1,float
CDC,90011,2020,C202090011,Index Total,900,Percentile Rank (US),11,NA,Index Total,Overall Percentile Ranking for United States,RPL_THEMES_US,NA,NA,0,0,0,float
CDC,90012,2020,C202090012,Index Total,900,Percentile Rank (TX),12,NA,Index Total,Overall Percentile Ranking for Texas,RPL_THEMES_TX,NA,NA,0,0,0,float
CDC,90021,2020,C202090021,Index Total,900,Percentile Rank no Minority (US),21,NA,Index Total,Overall Percentile Ranking for United States without Minority,RPL_THEMES_v2_US,NA,NA,0,0,0,float
CDC,90022,2020,C202090022,Index Total,900,Percentile Rank no Minority (TX),22,NA,Index Total,Overall Percentile Ranking for Texas without Minority,RPL_THEMES_v2_TX,NA,NA,0,0,0,float
CDC,90031,2020,C202090031,Index Total,900,Percentile Rank no Minority (US),31,NA,Index Total,Overall Percentile Ranking for United States 2022-10-27 version,RPL_THEMES_v3_US,NA,NA,0,0,0,float
CDC,90032,2020,C202090032,Index Total,900,Percentile Rank no Minority (TX),32,NA,Index Total,Overall Percentile Ranking for Texas without  2022-10-27 version,RPL_THEMES_v3_TX,NA,NA,0,0,0,float
CDC,90091,2020,C202090091,Index Total,900,90th Percentile Rank Flags (US),91,NA,Index Total,Sum of Flags for Four Themes for United States,F_TOTAL_US,NA,NA,0,0,0,float
CDC,90092,2020,C202090092,Index Total,900,90th Percentile Rank Flags (TX),92,NA,Index Total,Sum of Flags for Four Themes for Texas,F_TOTAL_TX,NA,NA,0,0,0,float
CDC,91011,2020,C202091011,Index Total,910,SVI Quartile (US),11,NA,Index Total,SVI Quartile of RPL_THEMES_US,RPL_THEMES_US_sviq,NA,NA,0,0,0,str
CDC,91012,2020,C202091012,Index Total,910,SVI Quartile (TX),12,NA,Index Total,SVI Quartile of RPL_THEMES_TX,RPL_THEMES_TX_sviq,NA,NA,0,0,0,str
